Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
60	10000	6028477	6007449	6012328	6016063	6005664
60	100000	5939484	5944782	5943575	5928250	5944525
60	1000000	5889910	5899070	5926856	5924177	5908896
61	100	6319906	6299372	6321822	6348122	6345060
61	1000	6253198	6243223	6231244	6236080	6222833
61	10000	6138492	6136883	6141210	6127674	6134443
61	100000	6069569	6065039	6070246	6079095	6054209
61	1000000	6044496	6027614	6030069	6039639	6020926
62	100	6327757	6296696	6355533	6328965	6273540
62	1000	6221518	6263575	6224403	6222352	6238104
62	10000	6125734	6129030	6121638	6112259	6118199
62	100000	6065737	6049420	6062490	6054446	6062878
62	1000000	6011911	6000738	6004240	6009697	6022417
63	100	6334200	6378560	6355498	6338239	6326205
63	1000	6257404	6260087	6266816	6230092	6237884
63	10000	6173044	6157294	6140304	6149008	6130557
63	100000	6083363	6078677	6094213	6079168	6087251
63	1000000	6055615	6040677	6046354	6043508	6035116
64	100	6404378	6409231	6394364	6366744	6407806
64	1000	6286712	6307944	6311472	6278826	6316726
64	10000	6200451	6192630	6185042	6200063	6176701
64	100000	6147922	6126543	6113949	6130085	6115703
64	1000000	6097543	6111174	6091375	6085968	6097392
65	100	6356356	6341789	6332527	6344847	6331307
65	1000	6270848	6251831	6253982	6259765	6227986
65	10000	6171334	6131770	6151823	6164434	6145412
65	100000	6098215	6095028	6095324	6066313	6091247
65	1000000	6057802	6042058	6054637	6047037	6025510
66	100	6329075	6346657	6324551	6321149	6315710
66	1000	6232285	6223166	6216680	6218275	6236545
66	10000	6144330	6140080	6134202	6131435	6103503
66	100000	6078017	6079721	6073738	6049152	6044596
66	1000000	6046885	6020934	6034883	6041952	6038199
67	100	6280330	6277804	6230278	6275229	6284495
67	1000	6191260	6177773	6174762	6185116	6187954
67	10000	6096905	6079280	6093566	6091225	6053628
67	100000	6029215	5992012	6005324	6004722	6009404
67	1000000	5973192	5981334	5962066	5976636	5963486
68	100	6358323	6352639	6353687	6329287	6361038
68	1000	6255997	6272419	6264421	6279029	6229378
68	10000	6176212	6178804	6163591	6155800	6136493
68	100000	6089337	6097414	6076860	6085715	6083767
68	1000000	6067093	6061105	6063391	6052623	6046545
69	100	6378609	6335167	6345126	6336644	6313913
69	1000	6245860	6260171	6212421	6237477	6229744
69	10000	6151305	6121438	6137344	6155171	6132088
69	100000	6073404	6060144	6068407	6069282	6055343
69	1000000	6040215	6046408	6032267	6004110	6020962
70	100	6311608	6266048	6302001	6282270	6269283
70	1000	6209912	6206874	6195963	6189863	6203839
70	10000	6118849	6104221	6105409	6101848	6101553
70	100000	6030635	6035878	6021805	6028837	6024666
70	1000000	6006128	5988186	6002477	5995776	5991776
71	100	6362799	6355699	6352056	6346532	6350534
71	1000	6267433	6261984	6256485	6251777	6242201
71	10000	6155307	6178112	6152577	6141063	6145868
71	100000	6094239	6092418	6077323	6078384	6082867
71	1000000	6064453	6066140	6048222	6061934	6042429
72	100	6305576	6288631	6261529	6275315	6285838
72	1000	6183708	6183242	6187752	6171175	6208563
72	10000	6116503	6070816	6088849	6079566	6071934
72	100000	6021619	6007704	6026905	6021692	6013645
72	1000000	5990318	5989478	5990199	5967146	5978685
73	100	6349030	6363943	6371230	6325539	6380780
73	1000	6273172	6274154	6260867	6252601	6261674
73	10000	6177293	6169719	6175717	6153185	6153878
73	100000	6102061	6081219	6100013	6110971	6085342
73	1000000	6076288	6060201	6057617	6060531	6037364
74	100	6383568	6422516	6409225	6407422	6401628
74	1000	6295333	6307557	6314051	6289197	6293635
74	10000	6196387	6198517	6179499	6175557	6179938
74	100000	6126327	6140429	6130854	6121399	6125484
74	1000000	6097624	6063961	6082959	6086077	6080189
75	100	6392569	6386948	6399530	6390938	6393428
75	1000	6284895	6313050	6280190	6287467	6289155
75	10000	6206845	6188256	6189974	6176697	6182967
75	100000	6114730	6128588	6118837	6117896	6122703
75	1000000	6088487	6083209	6096721	6073015	6080324
76	100	6339846	6344152	6361865	6347874	6350399
76	1000	6259118	6276994	6274574	6266996	6264758
76	10000	6170924	6158282	6144746	6159793	6169645
76	100000	6098647	6089162	6098799	6075315	6078849
76	1000000	6060141	6076012	6058160	6052571	6052790
77	100	6404092	6413168	6419001	6411627	6405173
77	1000	6314383	6329896	6330571	6312275	6308020
77	10000	6221171	6215259	6218693	6226853	6196245
77	100000	6155732	6152631	6126279	6139746	6131580
77	1000000	6134876	6104485	6120523	6117178	6108071
78	100	6330358	6312602	6341845	6321680	6345234
78	1000	6230441	6231440	6238674	6217002	6220205
78	10000	6141949	6129508	6128479	6128739	6120309
78	100000	6081171	6079726	6050783	6062612	6047465
78	1000000	6019960	6037591	6012229	6012398	6026529
79	100	6449957	6466884	6443503	6428797	6448745
79	1000	6354990	6366902	6351016	6364418	6343442
79	10000	6269456	6242578	6233081	6247653	6235160
79	100000	6180713	6201533	6168403	6157753	6141917
79	1000000	6143306	6133501	6126858	6133091	6147483
80	100	6303515	6298362	6263270	6292312	6297476
80	1000	6201673	6199522	6171433	6189384	6167877
80	10000	6098253	6102439	6098447	6068405	6092717
80	100000	6030612	6026565	6014662	6033498	6003358
80	1000000	5987844	5995658	5977241	5982548	5977261
81	100	6315440	6327826	6335355	6324804	6324080
81	1000	6236644	6222728	6204357	6226493	6197180
81	10000	6120503	6122072	6117158	6108739	6099931
81	100000	6053421	6042254	6055000	6050725	6027415
81	1000000	6016406	6020639	6012863	6004245	5985827
82	100	6293269	6277991	6301073	6304941	6246239
82	1000	6193480	6206759	6182541	6184827	6181682
82	10000	6095699	6095889	6084933	6085845	6077484
82	100000	6025370	6022327	6033006	6009226	6014940
82	1000000	5986950	5994177	5973117	5978194	5988992
83	100	6315077	6303074	6287578	6310150	6314164
83	1000	6194796	6217289	6204834	6174650	6168534
83	10000	6124662	6085093	6092052	6116092	6099728
83	100000	6037454	6030215	6029965	6027605	6014434
83	1000000	6005771	5987270	5984747	5974062	6000433
84	100	6298105	6310277	6328909	6341942	6332025
84	1000	6258624	6210464	6234624	6256505	6230831
84	10000	6150248	6143241	6125637	6110048	6112804
84	100000	6067457	6079927	6066879	6078598	6054248
84	1000000	6031212	6023008	6035367	6034115	6028650
85	100	6332421	6333990	6338320	6308013	6334277
85	1000	6263299	6234694	6232785	6239467	6251357
85	10000	6139764	6136894	6140675	6151792	6106549
85	100000	6101197	6076739	6072418	6081731	6084290
85	1000000	6037391	6058972	6048621	6033641	6033715
86	100	6313424	6306254	6307771	6281088	6297510
86	1000	6214853	6200858	6199351	6202129	6215675
86	10000	6132932	6119573	6107838	6092121	6101153
86	100000	6058024	6040608	6041340	6035539	6027640
86	1000000	5998037	6006414	6000170	5997935	5995242
87	100	6435666	6398860	6395725	6418656	6419734
87	1000	6295650	6299023	6322426	6307097	6304888
87	10000	6211447	6211326	6206744	6198130	6194060
87	100000	6125744	6128921	6141116	6164317	6116049
