Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
43	10000	1498057	1490551	1489187	1496829	1493616	1491115	1494780	1525112	1534529	1522037
43	100000	1479055	1474561	1468512	1475094	1474316	1466309	1467419	1525897	1507847	1508816
43	1000000	1463346	1463725	1463876	1469401	1457238	1463433	1446043	1507474	1502375	1504731
43	10000000	1457298	1453480	1450226	1455345	1453997	1452687	1449048	1492951	1496870	1491023
44	100	1528123	1492740	1514378	1505234	1502291	1512498	1500214	1521407	1523803	1518530
44	1000	1482052	1479506	1467902	1477003	1473714	1478597	1467335	1513895	1506608	1509040
44	10000	1458237	1428005	1447427	1452486	1441429	1452682	1440041	1488226	1490355	1479346
44	100000	1432945	1415359	1423970	1430478	1426618	1424397	1420404	1476835	1461736	1462916
44	1000000	1421208	1413789	1418102	1415743	1416140	1419525	1409050	1468073	1459789	1458374
44	10000000	1406947	1410121	1403479	1409899	1409372	1406563	1403892	1454381	1447135	1443571
45	100	1589652	1584536	1562775	1581332	1569433	1567240	1577961	1587218	1591547	1594893
45	1000	1549375	1550417	1544588	1545359	1537347	1543886	1531251	1580651	1570841	1575108
45	10000	1519236	1510404	1512357	1517434	1512549	1504223	1500832	1565481	1555883	1551218
45	100000	1493399	1494551	1498623	1488016	1501195	1496982	1491133	1543486	1541173	1537896
45	1000000	1492040	1485324	1487896	1489839	1490687	1480764	1482939	1527602	1526584	1517845
45	10000000	1477228	1475292	1474843	1475614	1472409	1472964	1473380	1525524	1518649	1512552
46	100	1530650	1521880	1534217	1530991	1528551	1523019	1516353	1537723	1529925	1530237
46	1000	1498802	1489819	1490427	1498239	1494157	1484979	1485103	1523217	1526638	1513055
46	10000	1468728	1451059	1459310	1466352	1464262	1454151	1448079	1505105	1507341	1497138
46	100000	1450415	1435904	1431356	1437449	1443160	1440995	1433068	1494710	1480564	1482805
46	1000000	1432172	1433262	1427226	1438112	1428728	1432137	1430191	1479506	1469213	1466874
46	10000000	1426503	1422253	1421930	1425698	1421969	1414368	1424934	1467720	1460604	1458644
47	100	1559451	1552952	1541401	1551092	1543500	1526192	1547760	1560300	1563553	1561402
