Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
36	1000000	7750	7334	7678	7906	6980	7242	8637	7679	3760	10804
36	10000000	6631	6160	6607	6779	5905	6673	8637	7679	3760	9572
37	100	33143	32091	35123	34111	31028	32144	29696	36454	32090	36859
37	1000	22054	19103	18368	21105	18332	18155	16330	17935	11728	26404
37	10000	13382	11528	9866	12262	10138	10570	10359	9165	5263	20091
37	100000	8936	8407	8933	8073	7574	8706	8476	6734	3832	14394
37	1000000	7932	7404	8059	6804	6873	6927	8476	6734	3832	12467
37	10000000	6661	5977	6368	6279	6527	6677	8476	6734	3832	10728
38	100	32024	35039	34117	34196	33688	34160	34351	32191	34496	37992
38	1000	19311	19772	17799	19928	20066	18972	17638	17583	12248	27693
38	10000	13730	11660	11276	13394	10807	10899	10366	8087	4912	18278
38	100000	8852	10144	7931	8772	7209	7319	9286	7368	3343	14591
38	1000000	7694	8304	7807	7928	6817	6043	9286	7368	3343	11036
38	10000000	6132	5870	6110	7001	6544	5889	9286	7368	3343	10883
39	100	30328	34280	32244	32817	33699	32546	32064	33238	35412	38814
39	1000	20765	19710	17056	22014	20589	18723	18508	15969	12664	27899
39	10000	13369	12384	11407	13959	10941	12550	10453	9161	5746	20759
39	100000	9555	8454	8634	9621	8935	8635	9825	8740	3792	15831
39	1000000	8600	6812	7779	8916	7339	7754	9825	8740	3792	13374
39	10000000	7898	6812	6424	6796	6994	7722	9825	8740	3792	11542
40	100	29443	33691	32098	31261	34348	34641	34121	33340	34398	37604
40	1000	21122	20624	19223	21690	20835	19277	17069	17203	12749	29097
40	10000	12682	10918	10708	12672	12946	11491	9637	9605	5403	19801
40	100000	9350	8947	8754	8775	8173	8059	9474	6742	3946	16578
40	1000000	8038	7096	8327	7631	6779	6732	9474	6742	3946	12653
40	10000000	5871	7096	7919	6575	6600	6508	9474	6742	3946	11297
41	100	31420	37711	35666	34157	36499	34041	36077	36000	31942	35345
41	1000	20317	18553	18938	20526	19048	21488	18401	18428	13749	25506
41	10000	13895	12055	11158	12579	10861	10062	10470	9561	5400	17040
41	100000	8942	8367	9217	8519	9000	8203	8757	8327	4161	12178
41	1000000	6528	6994	7457	5898	8212	6715	8757	8327	4161	9796
41	10000000	6065	6368	6381	5898	5455	6441	8757	8327	4161	8907
42	100	34855	31091	34790	31191	31707	31262	31960	33495	34062	39357
42	1000	20705	19241	18814	22172	18537	17460	16581	15745	13152	27492
42	10000	12714	10781	11860	12364	10869	11377	11731	9560	5357	20520
42	100000	7919	8863	8011	8358	8752	8759	8797	7773	3970	16448
42	1000000	7186	7523	6991	6393	6935	6950	8797	7773	3970	13632
42	10000000	6110	6622	5914	6030	5895	6950	8797	7773	3970	11725
43	100	35861	31894	34272	32552	35893	32991	33040	33914	33848	36140
43	1000	22393	20964	18778	21003	19581	19951	18201	17139	12735	29812
43	10000	12850	10850	10521	13246	10843	10129	11161	9945	5237	20082
43	100000	9142	8703	8728	8444	7161	8505	9431	7149	3945	15056
43	1000000	7487	7543	7601	7585	6711	6467	9431	7149	3945	12460
43	10000000	6878	6843	6891	6373	6197	6102	9431	7149	3945	11818
44	100	30101	31597	31709	35633	34127	33515	31004	34478	31181	39268
44	1000	21032	18002	19416	17833	18709	19620	16771	16671	12140	28081
44	10000	12270	9903	10171	12599	11487	10836	11246	9746	5324	20360
44	100000	7961	8545	8250	8805	8219	8093	9560	8110	3629	14205
44	1000000	6882	6790	6464	7195	7203	7502	9560	8110	3629	11784
44	10000000	6439	6069	6076	6065	6590	6764	9560	8110	3629	9189
45	100	36759	33917	30954	34169	33343	35031	34408	31376	34486	40422
45	1000	22591	18988	19781	20996	19671	19681	18237	17589	13404	31415
45	10000	15198	11665	10888	12702	11645	11494	11370	9321	4997	17686
45	100000	10593	9289	9167	9918	9216	8709	10233	7979	4265	14108
45	1000000	8610	7496	7169	7354	7706	7469	10233	7979	4265	11272
45	10000000	7908	5987	6206	6317	6769	7322	10233	7979	4265	10328
46	100	36237	33834	32069	35285	31504	31594	32547	33070	34627	35753
46	1000	22600	18318	16320	18149	20234	18768	17389	17380	12858	30284
46	10000	12757	11515	10608	11196	11666	11241	9422	10339	5850	21687
46	100000	8519	9675	8453	7173	8805	7982	8427	7975	3933	16750
46	1000000	7020	8486	7032	6913	6323	6966	8427	7975	3933	13674
46	10000000	6297	6667	6466	6906	5774	6542	8427	7975	3933	12271
47	100	32437	31716	31206	34489	32546	32445	33556	31527	37226	39900
47	1000	20688	20543	19849	20376	19110	18754	16047	16700	13378	31648
47	10000	12614	12112	11795	11842	13025	11970	10742	10417	5189	22097
47	100000	8512	8100	8478	9373	9470	8612	9022	9489	3510	17046
47	1000000	7039	7079	7556	7075	6711	7328	9022	9489	3510	15502
47	10000000	6621	6158	6639	6353	6596	6686	9022	9489	3510	13735
48	100	33984	32231	32141	32126	33498	35091	33025	33803	35341	39629
48	1000	22391	18110	17133	20667	20174	17857	18093	16116	12981	29897
48	10000	13212	11653	11369	12338	11018	10595	10289	9682	5483	19009
48	100000	9505	7861	8369	8322	7587	8710	8850	7977	3479	14099
48	1000000	7685	6477	7696	7391	7328	6645	8850	7977	3479	12360
48	10000000	5973	5733	6917	6461	5922	6446	8850	7977	3479	9233
49	100	32952	35764	33093	36823	28947	33712	33867	34325	35199	40919
49	1000	22609	19325	17572	21791	20359	20348	16995	15355	14685	26491
49	10000	13094	10971	10723	12643	12583	12084	10295	9266	5157	18684
49	100000	8467	8673	9212	9417	9237	7837	9147	7288	3689	14733
49	1000000	7343	7687	7911	7633	7592	7187	9147	7288	3689	12507
49	10000000	5738	6439	6657	6798	6651	7120	9147	7288	3689	9780
50	100	32646	32026	32140	30116	32907	34253	34967	31702	34642	39827
50	1000	21489	17424	18121	18177	19176	17673	17159	15341	11775	29780
50	10000	14629	11162	11214	11698	11701	10115	10150	7565	4824	18187
50	100000	8953	8489	7808	9724	8431	6942	8284	6543	3704	14519
50	1000000	7945	7449	6406	6858	7344	6573	8284	6543	3704	11656
50	10000000	6198	6767	5918	6797	5939	5683	8284	6543	3704	9475
