Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
62	10	6284809	6249411	6271525	6277803	6260706	6269997	6280667	6280022	6289740	6340267	6313319	6301396
62	100	6142219	6132947	6140123	6141051	6122201	6120411	6112433	6093573	6088686	6268449	6204749	6237963
62	1000	6053241	6048683	6040088	6044973	6037085	6036728	6028866	6034242	6024295	6208410	6151628	6146796
62	10000	6005679	5999440	5999562	6009599	6011125	6006070	6004909	6002819	6000110	6166371	6143648	6125381
63	1	6386681	6390192	6381731	6397137	6387783	6396011	6379248	6387910	6393324	6374269	6391817	6393846
63	10	6280267	6298258	6290114	6296623	6286425	6291541	6273147	6295975	6311822	6336193	6313454	6323279
63	100	6166885	6167409	6149900	6154416	6142687	6138911	6130830	6100239	6108699	6279490	6253911	6273310
63	1000	6063485	6079151	6059618	6048045	6068671	6060084	6064453	6027823	6037496	6212467	6221734	6189141
63	10000	6030625	6044361	6037255	6020601	6040789	6033918	6036916	5998914	6002048	6178234	6189078	6162277
64	1	6419626	6431611	6427995	6418793	6440318	6433789	6439300	6429861	6438916	6430705	6427815	6414818
64	10	6335485	6353801	6340397	6333820	6338389	6325132	6343084	6342568	6347874	6373889	6356138	6351124
64	100	6192482	6197855	6204783	6199094	6175455	6192820	6177711	6176176	6161175	6333132	6291874	6278058
64	1000	6129815	6127719	6113999	6119866	6111393	6073231	6089141	6080045	6115532	6268913	6242020	6243292
64	10000	6092395	6101926	6079559	6079771	6082636	6063050	6075611	6068847	6080728	6216453	6226111	6193875
65	1	6390126	6389633	6409711	6388482	6398177	6393405	6405576	6396524	6406692	6404127	6397407	6377552
65	10	6307558	6298842	6314483	6289391	6300494	6306369	6302013	6300190	6311557	6342268	6342500	6339681
65	100	6162512	6173320	6165290	6146386	6140424	6155497	6143720	6112590	6141354	6283435	6251983	6229999
65	1000	6053595	6082197	6066984	6051753	6058186	6049796	6056941	6033402	6050439	6218833	6210283	6201330
65	10000	6033636	6056140	6032222	6025048	6039615	6025875	6018969	6002535	6029363	6203925	6179100	6180807
66	1	6357726	6360672	6358511	6362181	6371151	6366498	6368688	6376778	6369150	6376021	6375065	6370965
66	10	6254174	6270017	6274243	6284410	6276681	6273761	6288714	6279980	6284163	6321409	6307110	6305440
66	100	6155549	6135468	6127770	6137030	6124598	6127099	6113290	6093301	6105373	6249078	6228585	6211017
66	1000	6057379	6065502	6070183	6039984	6043887	6044692	6025778	6030637	6047520	6208080	6174812	6160160
66	10000	6017800	6028643	6009858	5996213	6014764	6009146	6008322	6013523	5995708	6189624	6149474	6135756
67	1	6303305	6306316	6323430	6308598	6317172	6316876	6318237	6319986	6304821	6317390	6315258	6310293
67	10	6232778	6223031	6233724	6224976	6209199	6216395	6218181	6231226	6230336	6268908	6256630	6245697
67	100	6108597	6087863	6053911	6080614	6059774	6068940	6049550	6071049	6051064	6203464	6177655	6176477
67	1000	6001913	6010027	5993385	5999498	5982189	5982419	5969079	5993718	5987057	6127739	6147722	6127572
67	10000	5974122	5970376	5947080	5983204	5956823	5960441	5945472	5965444	5964741	6112028	6100858	6082058
68	1	6390946	6387545	6393220	6364578	6396894	6406203	6400210	6387723	6407642	6405961	6396952	6393150
68	10	6300293	6295544	6297778	6278309	6311308	6309579	6302748	6293427	6317433	6370538	6348234	6352213
68	100	6186308	6161510	6177572	6164552	6162607	6135353	6151621	6137219	6116458	6277123	6257979	6243156
68	1000	6075882	6072239	6086206	6082323	6089728	6060354	6065842	6064354	6038327	6229158	6196590	6187658
68	10000	6048425	6047144	6047756	6041335	6064230	6045586	6033166	6022831	6027983	6199574	6188666	6177978
69	1	6372314	6372915	6363825	6365037	6379821	6388237	6376146	6371042	6379668	6368046	6381209	6374605
69	10	6277616	6277714	6279199	6281643	6286600	6287897	6284845	6283978	6306552	6340941	6330304	6309237
69	100	6129774	6149539	6144558	6121496	6135282	6133143	6113827	6120109	6107586	6272539	6245592	6222803
69	1000	6069597	6072360	6053987	6055508	6052068	6057493	6041981	6038950	6035023	6226774	6200145	6175906
69	10000	6045847	6033371	6048497	6007875	6021107	6019328	5995489	6009612	6001649	6182261	6187510	6131801
70	1	6341825	6352279	6343611	6327358	6341132	6350903	6346518	6355672	6339330	6346901	6339439	6326486
70	10	6250733	6262660	6257608	6245736	6252652	6248748	6243897	6273568	6256545	6317105	6296178	6281971
70	100	6105322	6123746	6110616	6106510	6093789	6111202	6070637	6070983	6066033	6233823	6194158	6184407
70	1000	6049642	6029867	6028741	6029498	6014152	6021607	6010251	5997814	5996136	6174325	6138774	6132510
70	10000	5995169	5998277	5985445	5986273	5973314	5988380	5989068	5970202	5970329	6158219	6133725	6101621
71	1	6377881	6389647	6390113	6396943	6394495	6399436	6404499	6396767	6378450	6404069	6391677	6400732
71	10	6292912	6293811	6308401	6300621	6296561	6299446	6296822	6301553	6314850	6367655	6341252	6317717
71	100	6179101	6182247	6171581	6156741	6141844	6128426	6147982	6124515	6137301	6266705	6250878	6224144
71	1000	6083299	6090339	6081624	6084887	6065539	6064259	6058700	6063532	6063345	6226798	6221853	6183449
71	10000	6052472	6036971	6040944	6048509	6046467	6050695	6044588	6034683	6036147	6194733	6173370	6171633
72	1	6314238	6317325	6325299	6325966	6321247	6326947	6328550	6313416	6323418	6324433	6310414	6326742
72	10	6218459	6214431	6229853	6240538	6231827	6234499	6235614	6223204	6242471	6268646	6265586	6263362
72	100	6099212	6076409	6081209	6092635	6089318	6069443	6070871	6058547	6053587	6233174	6182066	6154139
72	1000	6018799	6015569	5999573	6001563	5998346	5984646	5986715	5991208	5992316	6171110	6144491	6123014
72	10000	5985603	5970058	5958710	5960531	5958722	5954974	5963469	5971516	5979756	6124271	6122467	6086090
73	1	6394485	6400576	6396931	6400215	6396577	6394056	6396629	6417894	6403407	6407729	6408292	6400839
73	10	6291417	6329384	6301712	6320604	6302665	6309103	6310275	6312764	6322329	6353639	6336575	6342084
73	100	6164433	6173492	6194336	6160523	6170138	6147388	6140161	6134610	6132502	6275965	6274927	6254333
73	1000	6091308	6078212	6088353	6075511	6072810	6087226	6079353	6055018	6076474	6240873	6210136	6222303
73	10000	6047285	6046338	6044229	6032297	6037228	6050787	6053164	6039427	6038925	6215775	6192535	6158702
74	1	6425008	6433991	6406686	6446663	6421143	6429591	6423174	6448498	6435806	6433143	6446657	6425453
74	10	6339049	6347932	6323592	6339894	6322381	6345189	6342890	6350051	6346306	6392874	6369577	6378953
74	100	6203637	6189641	6204002	6191689	6167567	6203869	6185866	6169325	6160215	6325128	6289522	6318229
74	1000	6139822	6117016	6114779	6118618	6100393	6111986	6111220	6089763	6096578	6260711	6242880	6244043
74	10000	6089121	6072534	6089968	6068538	6079247	6086982	6076191	6074536	6070399	6235351	6231463	6234745
75	1	6427367	6410166	6412326	6433757	6429315	6432541	6415535	6425828	6431432	6440292	6421155	6428323
75	10	6343987	6324699	6303800	6328358	6329002	6343650	6317334	6339769	6342519	6389674	6379527	6343254
75	100	6195693	6183620	6197533	6195524	6167488	6177193	6165008	6164360	6148323	6325596	6288509	6273591
75	1000	6128932	6111770	6096856	6098724	6105064	6075256	6117125	6100806	6079791	6277734	6239553	6229767
75	10000	6092130	6079818	6071669	6085517	6078852	6063770	6077735	6062818	6064812	6224443	6231827	6201419
76	1	6397603	6399119	6394125	6392289	6400347	6403567	6396358	6401054	6400030	6401028	6399815	6386967
76	10	6291958	6304265	6290654	6306643	6307460	6308378	6316328	6294139	6321597	6344047	6336006	6336854
76	100	6155687	6179384	6180808	6156468	6173984	6146502	6145079	6121402	6129984	6277401	6275909	6250397
76	1000	6076889	6088978	6084108	6052107	6105150	6068860	6061595	6046599	6052049	6246155	6219844	6191032
76	10000	6049566	6050287	6056208	6039199	6033005	6040306	6037590	6028376	6039524	6198674	6184315	6165978
77	1	6447029	6447317	6446234	6453333	6453247	6449690	6457982	6460379	6445904	6445194	6452871	6448498
77	10	6344064	6342888	6359637	6355918	6362778	6365099	6381481	6368147	6358840	6425488	6413634	6392689
77	100	6230801	6226302	6220662	6233321	6228731	6203649	6221017	6178371	6197672	6329430	6318168	6292360
77	1000	6144500	6139153	6133238	6139482	6135936	6115604	6127996	6115283	6123489	6286781	6263810	6251105
77	10000	6101419	6097676	6126043	6094222	6087358	6090918	6114638	6074887	6112216	6257595	6238479	6225922
78	1	6374010	6381040	6376018	6363227	6375440	6366271	6360643	6367920	6361704	6364404	6370477	6368590
